Time(s),Altitude(m),Pressure(kPa),Voltage(V)
0.02,10.71,98.83,0.00
0.04,11.20,98.82,0.00
0.06,11.71,98.82,0.00
0.08,12.21,98.81,0.00
0.10,12.74,98.80,0.00
0.12,13.30,98.80,0.00
0.14,13.88,98.79,0.00
0.16,14.47,98.78,0.00
0.19,15.09,98.78,0.00
0.21,15.75,98.77,0.00
0.23,16.42,98.76,0.00
0.26,17.10,98.75,0.00
0.28,17.83,98.74,0.00
0.31,18.58,98.74,0.00
0.34,19.34,98.73,0.00
0.36,20.13,98.72,0.00
0.39,20.94,98.71,0.00
0.42,21.77,98.70,0.00
0.45,22.63,98.69,0.00
0.48,23.48,98.68,0.00
0.51,24.37,98.67,0.00
0.54,25.29,98.66,0.00
0.57,26.25,98.64,0.00
0.60,27.22,98.63,0.00
0.63,28.24,98.62,0.00
0.67,29.24,98.61,0.00
0.70,30.24,98.60,0.00
0.73,31.25,98.59,0.00
0.76,32.20,98.58,0.00
0.80,33.13,98.56,0.00
0.83,34.09,98.55,0.00
0.86,35.02,98.54,0.00
0.89,35.98,98.53,0.00
0.92,36.92,98.52,0.00
0.96,37.88,98.51,0.00
0.99,38.82,98.50,0.00
1.02,39.79,98.49,0.00
1.05,40.76,98.47,0.00
1.09,41.70,98.46,0.00
1.12,42.67,98.45,0.00
1.15,43.61,98.44,0.00
1.18,44.54,98.43,0.00
1.21,45.50,98.42,0.00
1.25,46.42,98.41,0.00
1.28,47.35,98.40,0.00
1.31,48.27,98.39,0.00
1.34,49.18,98.38,0.00
1.38,50.06,98.37,0.00
1.41,50.96,98.35,0.00
1.44,51.81,98.34,0.00
1.47,52.66,98.33,0.00
1.50,53.51,98.32,0.00
1.54,54.34,98.32,0.00
1.57,55.24,98.30,0.00
1.60,56.15,98.29,0.00
1.63,57.02,98.28,0.00
1.67,57.92,98.27,0.00
1.70,58.77,98.26,0.00
1.73,59.62,98.25,0.00
1.76,60.44,98.24,0.00
1.79,61.28,98.23,0.00
1.83,62.10,98.22,0.00
1.86,62.89,98.21,0.00
1.89,63.68,98.21,0.00
1.92,64.45,98.20,0.00
1.95,65.22,98.19,0.00
1.99,65.98,98.18,0.00
2.02,66.71,98.17,0.00
2.05,67.44,98.16,0.00
2.08,68.16,98.15,0.00
2.12,68.86,98.14,0.00
2.15,69.55,98.14,0.00
2.18,70.23,98.13,0.00
2.21,70.88,98.12,0.00
2.24,71.55,98.11,0.00
2.28,72.20,98.11,0.00
2.31,72.82,98.10,0.00
2.34,73.44,98.09,0.00
2.37,74.05,98.08,0.00
2.41,74.64,98.08,0.00
2.44,75.21,98.07,0.00
2.47,75.79,98.06,0.00
