Time (s),Thrust (N),Mass (kg)
0,0.321017269,0.0135
0.026166667,3.044900341,0.013314828
0.0523,3.89170214,0.013129656
0.0779,5.480550514,0.012944484
0.104133333,8.11987112,0.012759312
0.130233333,10.91395205,0.01257414
0.156633333,14.20625905,0.012388968
0.1828,17.00837,0.012203796
0.208566667,18.74613869,0.012018624
0.234266667,16.07469801,0.011833452
0.2607,11.65344362,0.01164828
0.2866,6.996398733,0.011463108
0.312966667,5.390395323,0.011277936
0.3391,4.804934079,0.011092764
0.365366667,4.453073333,0.010907592
0.391,4.281157967,0.01072242
0.4169,4.072742525,0.010537248
0.442966667,3.863597081,0.010352076
0.468533333,3.750081839,0.010166904
0.494333333,3.706646746,0.009981732
0.520366667,3.631091588,0.00979656
0.5465,3.596416512,0.009611388
0.5717,3.544951403,0.009426216
0.598333333,3.586926495,0.009241044
0.6239,3.549331412,0.009055872
0.6498,3.551156416,0.0088707
0.6754,3.569406455,0.008685528
0.701566667,3.480346267,0.008500356
0.727733333,3.435086171,0.008315184
0.7536,3.410266117,0.008130012
0.779633333,3.415011127,0.00794484
0.805633333,3.396761088,0.007759668
0.831733333,3.316095917,0.007574496
0.857833333,3.416836133,0.007389324
0.883433333,3.367561027,0.007204152
0.9091,3.429611159,0.00701898
0.935066667,3.454431211,0.006833808
0.960533333,3.399681096,0.006648636
0.986866667,3.422676144,0.006463464
1.012633333,3.434721171,0.006278292
1.038533333,3.39712609,0.00609312
1.064766667,3.401871101,0.005907948
1.0905,3.379606053,0.005722776
1.116733333,3.307335899,0.005537604
1.142466667,3.287990857,0.005352432
1.1687,3.266820813,0.00516726
1.194533333,3.290180862,0.004982088
1.220466667,3.28032584,0.004796916
1.246266667,3.367926028,0.004611744
1.272566667,3.337995963,0.004426572
1.298066667,3.357341004,0.0042414
1.324966667,3.319745924,0.004056228
1.3504,3.279230841,0.003871056
1.376366667,3.247110771,0.003685884
1.4018,3.305510895,0.003500712
1.428333333,3.258425795,0.00331554
1.454166667,3.331790952,0.003130368
1.4799,3.268645818,0.002945196
1.506133333,3.298575879,0.002760024
1.5318,3.224115722,0.002574852
1.5573,3.269740819,0.00238968
1.5838,3.244555766,0.002204508
1.6094,3.279960841,0.002019336
1.635166667,3.202215674,0.001834164
1.660833333,3.242365761,0.001648992
1.686633333,3.263535805,0.00146382
1.7127,3.330695947,0.001278648
1.738466667,3.320475928,0.001093476
1.764266667,3.347120984,0.000908304
1.790266667,2.878824988,0.000723117
1.816766667,2.439253642,0.00055753
1.8305,2.573947826,0.000513996
1.857333333,2.191031217,0.00050484
1.8835,1.743905265,0.000324315
1.90275,2.128937743,0.00030816
1.928,1.54727935,0
